created_at,entry_id,field1,field2
2024-02-14 07:07:05 UTC,16393756,0.000000,4.000000
2024-02-14 07:07:21 UTC,16393757,0.000000,0.000000
2024-02-14 07:07:36 UTC,16393758,0.000000,0.000000
2024-02-14 07:07:52 UTC,16393759,0.000000,2.000000
2024-02-14 07:08:07 UTC,16393760,0.000000,1.000000
2024-02-14 07:08:23 UTC,16393761,0.000000,0.000000
2024-02-14 07:08:39 UTC,16393762,0.000000,0.000000
2024-02-14 07:08:54 UTC,16393763,0.000000,0.000000
2024-02-14 07:09:10 UTC,16393764,1.000000,1.000000
2024-02-14 07:09:26 UTC,16393765,0.000000,7.000000
2024-02-14 07:09:42 UTC,16393766,0.000000,0.000000
2024-02-14 07:09:57 UTC,16393767,0.000000,0.000000
2024-02-14 07:10:12 UTC,16393768,0.000000,0.000000
2024-02-14 07:10:28 UTC,16393769,0.000000,0.000000
2024-02-14 07:10:43 UTC,16393770,0.000000,0.000000
2024-02-14 07:10:59 UTC,16393771,0.000000,0.000000
2024-02-14 07:11:15 UTC,16393772,0.000000,0.000000
2024-02-14 07:11:30 UTC,16393773,0.000000,0.000000
2024-02-14 07:11:46 UTC,16393774,4.000000,0.000000
2024-02-14 07:12:01 UTC,16393775,0.000000,0.000000
2024-02-14 07:12:17 UTC,16393776,0.000000,0.000000
2024-02-14 07:12:32 UTC,16393777,0.000000,0.000000
2024-02-14 07:12:48 UTC,16393778,0.000000,0.000000
2024-02-14 07:13:03 UTC,16393779,0.000000,0.000000
2024-02-14 07:13:18 UTC,16393780,1.000000,3.000000
2024-02-14 07:13:34 UTC,16393781,0.000000,4.000000
2024-02-14 07:13:49 UTC,16393782,0.000000,0.000000
2024-02-14 07:14:05 UTC,16393783,0.000000,0.000000
2024-02-14 07:14:20 UTC,16393784,0.000000,0.000000
2024-02-14 07:14:35 UTC,16393785,0.000000,0.000000
2024-02-14 07:14:51 UTC,16393786,2.000000,0.000000
2024-02-14 07:15:07 UTC,16393787,0.000000,3.000000
2024-02-14 07:15:22 UTC,16393788,0.000000,0.000000
2024-02-14 07:15:37 UTC,16393789,0.000000,0.000000
2024-02-14 07:15:53 UTC,16393790,5.000000,0.000000
2024-02-14 07:16:08 UTC,16393791,6.000000,0.000000
2024-02-14 07:16:24 UTC,16393792,0.000000,0.000000
2024-02-14 07:16:40 UTC,16393793,0.000000,0.000000
2024-02-14 07:16:55 UTC,16393794,4.000000,0.000000
2024-02-14 07:17:10 UTC,16393795,5.000000,1.000000
2024-02-14 07:17:26 UTC,16393796,2.000000,0.000000
2024-02-14 07:17:41 UTC,16393797,0.000000,0.000000
2024-02-14 07:17:56 UTC,16393798,0.000000,0.000000
2024-02-14 07:18:11 UTC,16393799,0.000000,0.000000
2024-02-14 07:18:26 UTC,16393800,0.000000,1.000000
2024-02-14 07:18:42 UTC,16393801,0.000000,9.000000
2024-02-14 07:18:57 UTC,16393802,0.000000,4.000000
2024-02-14 07:19:12 UTC,16393803,1.000000,2.000000
2024-02-14 07:19:28 UTC,16393804,0.000000,2.000000
2024-02-14 07:19:43 UTC,16393805,0.000000,0.000000
2024-02-14 07:19:59 UTC,16393806,0.000000,0.000000
2024-02-14 07:20:14 UTC,16393807,1.000000,0.000000
2024-02-14 07:20:30 UTC,16393808,3.000000,0.000000
2024-02-14 07:20:46 UTC,16393809,0.000000,0.000000
2024-02-14 07:21:01 UTC,16393810,0.000000,0.000000
